Number	Concept	Proto-Purus	Yine-Value	Yine-Form	Yine-Concept	Yine-Source	Apurina-Value	Apurina-Form	Apurina-Concept	Apurina-Source	Inapari-Value	Inapari-Form	Inapari-Concept	Inapari-Source
153	to sing	*-sika-	-ʃika-l-wa-ta (N86:388)	-ʃika-l-wa-ta 		N86:388	-ʃika (F00:654)	-ʃika 		F00:654	–			
154	to eat	*-nika	-nika (N86:398)	-nika 		N86:398	-ɲika (trans.)	-ɲika 		trans.	i-niʔá-ma (P95:36)	i-niʔá-ma 		P95:36
155	to swallow	*-nikuru-ka	-niklok-lu (N86:571)	-niklok-lu 		N86:571	–				i-niʔuruʔa-má-ri	i-niʔuruʔa-má-ri		i-niʔuruʔa-má-ri
156	to say	*-tsina	ʧin-rɨ, -ʧina (N86:415)	ʧin-rɨ / -ʧina 		N86:415	–				i-tiná-ma (P95:39)	i-tiná-ma 		P95:39
157	to speak	*-tukanV-	-tokanɨ-wa-ta (N86:465)	-tokanɨ-wa-ta 		N86:465	–				ri-tuʔána-ma (P95:45)	ri-tuʔána-ma 		P95:45
158	to command	*-jukana	jokan-rɨ (N86:513)	jokan-rɨ 		N86:513	–				i-juʔana-má-ri (P95 :56)	i-juʔana-má-ri 		P95 :56
159	to call	*-tuma-ha	tomha-lɨ (N86:490)	tomha-lɨ 		N86:490	–				i-tumáá-ri (P95:50)	i-tumáá-ri 		P95:50
160	to breathe	*-nani	hi-nni- (N86:360)	hi-nni- 		N86:360	–				i-naní-ma (P95:63)	i-naní-ma 		P95:63
161	to wash1	*-kipa	–				kipa (F00:655)	kipa 		F00:655	i-hipá-ma-ri (P95:49)	i-hipá-ma-ri 		P95:49
162	to wash2	*-erOka	t-erka-lɨ (N86:486)	t-erka-lɨ 		N86:486	eroka (F00:656)	eroka 		F00:656	–			
163	to swim	*-hano-ha	hanoh-lɨ, r-anoha-ta (N86:507)	hanoh-lɨ / r-anoha-ta 		N86:507	-noã-ta (F00:655)	-noã-ta 		F00:655	r-ano-ʔa-má (P95:54)	r-ano-ʔa-má 		P95:54
164	to bath	*-ka	-ka-wa (N86:377)	-ka-wa 		N86:377	–				i-ʔáá-ma (P95:30)	i-ʔáá-ma 		P95:30
165	to plant/put	*-taka	rɨ-tak-lɨ (N86:528)	rɨ-tak-lɨ 		N86:528	-taka ‘to put’ (F00:653)	-taka	to put	F00:653	rɨ-ʧaʔa-ma (P95:102)	rɨ-ʧaʔa-ma 		P95:102
166	to dig	*-sɨtu	sito-t-lɨ (N86:392)	sito-t-lɨ 		N86:392	–				i-hɨtú-ma (P95:34)	i-hɨtú-ma 		P95:34
167	to peel	*-taraha-	talha-lɨ (N86:521)	talha-lɨ 		N86:521	–				i-ʧaraa-má-ri (P95:58)	i-ʧaraa-má-ri 		P95:58
168	to hear	*-kema	-çema, -çem-lɨ (N86:512)	-çema / -çem-lɨ 		N86:512	-kema-ko (F00:649)	-kema-ko 		F00:649	i-hama-má (P95:55)	i-hama-má 		P95:55
169	to see	*-eta	r-et-lɨ (N86:502)	r-et-lɨ 		N86:502	-eta[ma] (F00:654)	-eta[ma] 		F00:654	r-eʧá-ra-ma (P95:53)	r-eʧá-ra-ma 		P95:53
170	to learn	*-ɨma-ta	r-ɨma-ta- (N86:367)	r-ɨma-ta- 		N86:367	–				r-ɨma-ʧa- (P95:28)	r-ɨma-ʧa- 		P95:28
171	to fear	*-pika	-pika (N86:501)	-pika 		N86:501	-pika (F00:648)	-pika 		F00:648	i-piʔá-ma (P95:53)	i-piʔá-ma 		P95:53
172	to sleep	*-ɨmaka	r-ɨmka (N86:430)	r-ɨmka 		N86:430	-ɨmaka (F00:654)	-ɨmaka 		F00:654	r-ɨmɨʔá-ma (P95:40)	r-ɨmɨʔá-ma 		P95:40
173	to lie down	*-kurɨ-ha	hi-klɨh-lɨ (N86:352)	hi-klɨh-lɨ 		N86:352	–				rɨ-ʔuri-a-ma (P95:26)	rɨ-ʔuri-a-ma 		P95:26
174	to die	*-ɨpɨna	hipna-lɨ, r-ɨpna (N86:504)	hipna-lɨ / r-ɨpna 		N86:504	ɨpɨ̃-pe (F00:647)	ɨpɨ̃-pe 		F00:647	r-ɨpɨná-ma (P95:53)	r-ɨpɨná-ma 		P95:53
175	to kill	*-hOka	rɨ-hka-lɨ (N86:222)	rɨ-hka-lɨ 		N86:222	-oka (F00: 650)	-oka 		F00: 650	–			
176	to cook	*-wara	hi-wla-lɨ (N86:396)	hi-wla-lɨ 		N86:396	–				rɨ-wara-má-ri (P95:64)	rɨ-wara-má-ri 		P95:64
177	to roast	*-kuta	kota-çi-t-lɨ (N86:570)	kota-çi-t-lɨ 		N86:570	–				i-ʔuʧa-má-ri (P95 :69)	i-ʔuʧa-má-ri 		P95 :69
178	to grind	*-juki	joç-rɨ (N86:503)	joç-rɨ 		N86:503	–				juhi-rí (P95:53)	juhi-rí 		P95:53
179	to fetch	*-apa	r-apa-t-lɨ (N86:483)	r-apa-t-lɨ 		N86:483	-apa (F00:384)	-apa 		F00:384	r-apa-ʧí-má-ri (P95:49)	r-apa-ʧí-má-ri 		P95:49
180	to sew	*-jutsa-ha	jotsha-lɨ (N86:405)	jotsha-lɨ 		N86:405	–				i-jutãã-rá-ma (P95:37)	i-jutãã-rá-ma 		P95:37
181	pregnant	*-mɨsi-	ka-mʃi-ro, mɨʃi-w-lɨ (N86:433)	ka-mʃi-ro / mɨʃi-w-lɨ 		N86:433	-miʃi (F00:645)	-miʃi 		F00:645	amirú (P95:41)	amirú 		P95:41
182	hungry	*natsi	naʧi (N86:466)	naʧi 		N86:466	naʧi (F00:483)	naʧi 		F00:483	natí (P95:46)	natí 		P95:46
183	shy	*-pate-	pate-wa-ta (N86:578)	pate-wa-ta 		N86:578	-pate-ta (Fe13:98)	-pate-ta 		Fe13:98	a-pate-rí (P95:70)	a-pate-rí 		P95:70
184	hot	*hame-	hame-t-lɨ (N86:385–86)	hame-t-lɨ 		N86:38586	–				hame-má-ri (P95:32)	hame-má-ri 		P95:32
185	cold	*ka-ʧikare	ka-ʧikle-rɨ (N86:457)	ka-ʧikle-rɨ 		N86:457	-ʧĩkare (Fe13:56)	-ʧĩkare 		Fe13:56	–			
185	cold	*ka-ʧikare					ka-ʧĩka-re-rɨ (BF07:125)	ka-ʧĩka-re-rɨ 		BF07:125				
186	wet	*potseja-	potsja-lɨ (N86:473)	potsja-lɨ 		N86:473	–				potejá-má-ri (P95:47)	potejá-má-ri 		P95:47
187	dry	*puperi-	popri-ri (N86:554)	popri-ri 		N86:554	–				puperí-má-ri (P95:65)	puperí-má-ri 		P95:65
188	new	*herutɨ	herotɨ (N86:510)	herotɨ 		N86:510	–				herúʧi (P95:55)	herúʧi 		P95:55
189	heavy	*pO-hɨno-rɨ	hinolɨ (N86:524)	hinolɨ 		N86:524	–				pɨɨnorɨ (P95:59)	pɨɨnorɨ 		P95:59
190	above	*teno	teno (N86:370)	teno 		N86:370	–				téno (P95:29)	téno 		P95:29
191	below	*rapɨ-	rapɨ[ko] (N86:415)	rapɨ[ko] 		N86:415	–				rapɨ[ʧa] (P95:25)	rapɨ[ʧa] 		P95:25
192	core/middle	*-anika-kɨ	r-anika-çi-te (N86:393)	r-anika-çi-te 		N86:393	–				aniʔa-hɨ (P95:35)	aniʔa-hɨ 		P95:35
193	two	*hepi	hepi (P95:431)	hepi 		P95:431	epi (F00:656)	epi 		F00:656	hepí (P95:40)	hepí 		P95:40
194	three	*mapa	mapa (P95:572)	mapa 		P95:572	–				mapá (P95:69)	mapá 		P95:69
195	cl.liquid	*-ha	hi-ha (N86:357)	hi-ha 		N86:357	-ã (F00:175)	-ã 		F00:175	ã- (P95:49)	ã- 		P95:49
196	cl.cylindrical	*-pi	-pi (H10:179–80)	-pi 		H10:17980	–				-pi (P95:189)	-pi 		P95:189
197	gender.masc	*-rɨ	-rɨ ~ -lɨ (H10:34–35)	-rɨ ~ -lɨ 		H10:3435	-rɨ (F00:218)	-rɨ 		F00:218	-rɨ (P95:191)	-rɨ 		P95:191
198	gender.fem	*-ro	-ro ~ -lo (H10:34–35)	-ro ~ -lo 		H10:3435	-ro (F00:218)	-ro 		F00:218	-ro (P95:191)	-ro 		P95:191
199	progressive	*-nanɨ	-nanɨ (H10:81)	-nanɨ 		H10:81	-nanɨ (F00: 314)	-nanɨ 		F00: 314	–			
200	iterative	*-naka	-t-naka (H10:247)	-t-naka 		H10:247	–				-naʔa (P95:196)	-naʔa 		P95:196
201	intensive	*-jaka	jaka (H10:84)	jaka 		H10:84	–				-jaʔa (P95:201)	-jaʔa 		P95:201
202	intensifier	*-putɨ	potɨ (H10:79)	potɨ 		H10:79	–				-puʧi (P95:201)	-puʧi 		P95:201
203	caus/verblzr	*ka-	ka- (H10:97)	ka- 		H10:97	ka- (F00:336–37)	ka- 		F00:33637	a- (see 5.5)	a- 		see 5.5
204	adjectivizer	*pO-	po- (H10:101)	po- 		H10:101	*po- (4.2.5.2)	*po- 		4.2.5.2	*po-/*pu- (4.2.6.2)	*po-/*pu- 		4.2.6.2
205	verbalizer	*-ta	-ta ‘verb stem closure’ (H10:206)	-ta	verb stem closure	H10:206	-ta ‘verbalizer’ (F00:324)	-ta	verbalizer	F00:324	-ʧa[hi] ‘causative’ (P95:201)	-ʧa[hi]	causative	P95:201
206	absolute	*-tsi	-ʧi (H10:118)	-ʧi 		H10:118	-ʧi (F00:236)	-ʧi 		F00:236	-ti (P95:187)	-ti 		P95:187
